SURVEY: SDSS
PHOTOMETRY_VERSION: SDSS_allCandidates+BOSS
FILTERS: ugrizUGRIZ


SNID: 13689
IAUC: UNKNOWN
FAKE: 0
RA: 4.016017
DECL: 0.807471
PIXSIZE: 0.4
SNTYPE: 120
MWEBV: 0.0258
MWEBV_ERR: 0.0043
REDSHIFT_HELIO: 0.251768
REDSHIFT_HELIO_ERR: 1.2e-05
REDSHIFT_FINAL: 0.250289
REDSHIFT_FINAL_ERR: 1.2e-05
HOSTGAL_OBJID: 1237657191980728576
HOSTGAL_PHOTOZ: 0.1869
HOSTGAL_PHOTOZ_ERR: -9.0
HOSTGAL_SNSEP: 4.29
PEAKMJD: 54000.2
SEARCH_TYPE: 120


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS:  108
NVAR:  17
VARLIST: MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    ZEROPT    ZEROPT_ERR    RDNOISE    PHOTFLAG    MAG    MAGERR    PSF_SIG1    PSF_SIG2    PSF_RATIO    SKY_SIG    GAIN    TELESCOPE    
OBS: 53974.3203125    r    82N    10.45    19.435    28.162    9.772    4.252    32    24.343    0.746    0.993    2.395    0.07    4.9    4.725    SDSS    
OBS: 53974.3203125    i    82N    -6.91    32.079    27.887    9.772    12.992    0    24.569    0.858    1.008    2.577    0.053    6.56    4.64    SDSS    
OBS: 53974.3203125    z    82N    -119.03    100.774    26.15    9.772    4.698    0    23.626    0.552    1.139    3.096    0.032    6.49    3.48    SDSS    
OBS: 53974.3203125    u    82N    21.1    39.785    26.968    9.772    4.483    160    23.879    1.057    1.139    2.396    0.091    4.62    1.47    SDSS    
OBS: 53989.3242188    g    82N    320.37    38.512    28.46    0.007    4.253    1    21.235    0.13    1.137    2.43    0.113    15.87    4.05    SDSS    
OBS: 53989.3242188    r    82N    288.17    41.422    28.255    0.005    4.252    129    21.349    0.155    1.245    3.193    0.042    12.85    4.725    SDSS    
OBS: 53989.3242188    i    82N    276.29    46.404    27.906    0.002    12.992    129    21.392    0.18    1.027    2.591    0.063    10.98    4.64    SDSS    
OBS: 53989.3242188    z    82N    99.68    119.207    26.574    0.018    4.698    0    22.142    0.68    1.104    2.82    0.056    7.99    3.48    SDSS    
OBS: 53989.3242188    u    82N    -32.1    115.523    27.91    0.2    4.483    1153    25.7    1.871    1.282    3.094    0.056    14.81    1.47    SDSS    
OBS: 53997.421875    g    82N    481.11    31.062    28.442    0.006    4.253    1176    20.794    0.07    1.653    3.509    0.109    4.24    4.05    SDSS    
OBS: 53997.421875    r    82N    476.13    32.518    28.255    0.003    4.252    1176    20.805    0.074    1.409    3.335    0.05    5.33    4.725    SDSS    
OBS: 53997.421875    i    82N    360.51    39.789    27.925    0.003    12.992    0    21.105    0.119    1.539    3.551    0.074    6.67    4.64    SDSS    
OBS: 53997.421875    z    82N    184.02    112.878    26.849    0.083    4.698    1176    21.694    0.501    1.388    3.519    0.056    6.52    3.48    SDSS    
OBS: 53997.421875    u    82N    63.04    63.695    27.531    0.0    4.483    168    22.951    0.897    1.776    3.39    0.197    4.55    1.47    SDSS    
OBS: 54000.3007812    g    82N    467.99    18.121    28.489    0.003    4.253    0    20.824    0.042    1.747    3.483    0.11    4.21    4.05    SDSS    
OBS: 54000.3007812    r    82N    493.56    26.41    28.271    0.004    4.252    0    20.766    0.058    1.522    3.396    0.07    5.4    4.725    SDSS    
OBS: 54000.3007812    i    82N    413.03    40.924    27.921    0.003    12.992    0    20.958    0.107    1.509    3.464    0.063    7.12    4.64    SDSS    
OBS: 54000.3007812    z    82N    89.17    134.079    26.614    0.017    4.698    0    22.207    0.775    1.534    3.345    0.071    7.13    3.48    SDSS    
OBS: 54000.3007812    u    82N    63.36    51.032    27.542    0.002    4.483    0    22.946    0.741    1.702    3.377    0.106    4.85    1.47    SDSS    
OBS: 54006.25    g    82N    406.43    26.998    28.112    0.036    4.253    152    20.977    0.072    1.631    3.318    0.097    4.43    4.05    SDSS    
OBS: 54006.25    r    82N    394.09    42.263    27.999    0.008    4.252    1176    21.01    0.116    1.784    3.652    0.154    5.51    4.725    SDSS    
OBS: 54006.25    i    82N    544.91    71.626    27.465    0.047    12.992    1164    20.658    0.142    1.583    3.641    0.092    7.57    4.64    SDSS    
OBS: 54006.25    z    82N    911.09    2031.07    24.918    0.064    4.698    1180    20.094    1.661    1.486    3.615    0.048    7.34    3.48    SDSS    
OBS: 54007.3515625    g    82N    333.95    16.949    28.429    0.003    4.253    0    21.19    0.055    1.367    2.987    0.066    4.32    4.05    SDSS    
OBS: 54007.3515625    r    82N    392.64    24.29    28.228    0.005    4.252    0    21.014    0.067    1.137    2.666    0.051    5.51    4.725    SDSS    
OBS: 54007.3515625    i    82N    423.07    36.022    27.891    0.004    12.992    0    20.932    0.092    1.059    2.573    0.059    7.14    4.64    SDSS    
OBS: 54007.3515625    z    82N    274.55    103.202    26.6    0.028    4.698    0    21.332    0.353    0.974    2.526    0.057    7.43    3.48    SDSS    
OBS: 54007.3515625    u    82N    104.12    41.372    27.804    0.012    4.483    128    22.437    0.407    1.145    2.32    0.114    5.26    1.47    SDSS    
OBS: 54009.2734375    g    82N    337.36    18.056    28.495    0.004    4.253    0    21.179    0.058    1.513    3.336    0.08    4.56    4.05    SDSS    
OBS: 54009.2734375    r    82N    404.41    25.763    28.275    0.005    4.252    0    20.982    0.069    1.402    3.523    0.04    5.48    4.725    SDSS    
OBS: 54009.2734375    i    82N    357.52    37.798    27.939    0.003    12.992    0    21.114    0.114    1.368    3.537    0.04    6.75    4.64    SDSS    
OBS: 54009.2734375    z    82N    212.25    125.005    26.64    0.054    4.698    0    21.57    0.506    1.466    3.583    0.054    6.52    3.48    SDSS    
OBS: 54009.2734375    u    82N    26.73    50.094    27.619    0.121    4.483    160    23.713    1.167    1.591    3.779    0.066    5.44    1.47    SDSS    
OBS: 54011.3398438    g    82N    284.42    24.968    28.463    0.006    4.253    1    21.364    0.095    1.003    2.266    0.1    10.61    4.05    SDSS    
OBS: 54011.3398438    r    82N    341.87    30.025    28.255    0.002    4.252    1    21.164    0.095    1.119    2.805    0.039    9.53    4.725    SDSS    
OBS: 54011.3398438    i    82N    387.85    41.696    27.911    0.003    12.992    0    21.026    0.116    1.092    2.926    0.036    9.46    4.64    SDSS    
OBS: 54011.3398438    z    82N    106.49    103.449    26.588    0.006    4.698    0    22.101    0.587    0.913    2.48    0.049    7.85    3.48    SDSS    
OBS: 54011.3398438    u    82N    47.72    62.399    27.795    0.038    4.483    1    23.22    1.052    1.109    2.389    0.091    8.87    1.47    SDSS    
OBS: 54019.2890625    g    82N    153.64    27.933    28.424    0.009    4.253    1177    22.03    0.195    1.034    2.17    0.12    22.31    4.05    SDSS    
OBS: 54019.2890625    r    82N    247.39    27.527    28.269    0.002    4.252    137    21.514    0.12    1.161    2.943    0.04    8.5    4.725    SDSS    
OBS: 54019.2890625    i    82N    211.09    37.265    27.913    0.004    12.992    8    21.681    0.188    1.015    2.607    0.049    8.59    4.64    SDSS    
OBS: 54019.2890625    z    82N    183.37    107.605    26.663    0.016    4.698    0    21.697    0.48    1.085    2.699    0.06    7.45    3.48    SDSS    
OBS: 54019.2890625    u    82N    -8.54    56.386    27.669    0.009    4.483    129    24.961    1.531    1.124    2.373    0.107    10.42    1.47    SDSS    
OBS: 54021.34375    g    82N    124.55    18.964    28.321    9.772    4.253    1177    22.256    0.163    0.961    2.118    0.095    7.58    4.05    SDSS    
OBS: 54021.34375    r    82N    239.95    23.804    28.152    9.772    4.252    1176    21.547    0.107    1.086    2.572    0.04    7.06    4.725    SDSS    
OBS: 54021.34375    i    82N    248.51    34.568    27.881    9.772    12.992    0    21.506    0.149    0.958    2.466    0.042    7.54    4.64    SDSS    
OBS: 54021.34375    z    82N    137.39    89.36    26.145    9.772    4.698    1176    21.926    0.466    0.863    2.498    0.038    7.08    3.48    SDSS    
OBS: 54021.34375    u    82N    19.76    51.223    26.907    9.772    4.483    41    23.921    1.294    1.033    2.201    0.085    7.99    1.47    SDSS    
OBS: 54025.3398438    g    82N    80.21    17.7    28.315    9.772    4.253    0    22.726    0.232    1.703    3.284    0.128    4.32    4.05    SDSS    
OBS: 54025.3398438    r    82N    192.63    27.626    28.149    9.772    4.252    0    21.784    0.154    1.578    3.165    0.097    6.07    4.725    SDSS    
OBS: 54025.3398438    i    82N    174.03    46.679    27.879    9.772    12.992    0    21.887    0.282    1.597    3.467    0.082    7.89    4.64    SDSS    
OBS: 54025.3398438    z    82N    167.52    143.915    26.144    9.772    4.698    0    21.772    0.658    1.483    3.452    0.069    8.05    3.48    SDSS    
OBS: 54025.3398438    u    82N    7.4    51.953    26.891    9.772    4.483    32    24.351    1.463    1.784    3.475    0.112    5.45    1.47    SDSS    
OBS: 54029.2695312    g    82N    32.0    18.528    28.47    0.003    4.253    0    23.66    0.527    1.606    3.446    0.111    4.36    4.05    SDSS    
OBS: 54029.2695312    r    82N    167.41    32.281    28.26    0.003    4.252    0    21.935    0.206    1.646    3.518    0.135    6.58    4.725    SDSS    
OBS: 54029.2695312    i    82N    223.05    48.859    27.925    0.007    12.992    0    21.622    0.233    1.586    3.67    0.088    8.46    4.64    SDSS    
OBS: 54029.2695312    z    82N    200.1    168.203    26.632    0.024    4.698    0    21.622    0.687    1.489    3.694    0.064    9.21    3.48    SDSS    
OBS: 54029.2695312    u    82N    19.1    50.83    27.954    0.06    4.483    1192    23.942    1.297    1.731    3.532    0.147    5.74    1.47    SDSS    
OBS: 54031.2539062    g    82N    48.6    13.81    28.482    0.005    4.253    0    23.248    0.286    1.003    2.278    0.087    4.4    4.05    SDSS    
OBS: 54031.2539062    r    82N    141.95    23.305    28.268    0.002    4.252    0    22.112    0.175    1.169    3.027    0.033    6.58    4.725    SDSS    
OBS: 54031.2539062    i    82N    218.52    37.711    27.929    0.006    12.992    0    21.644    0.184    1.006    2.654    0.042    8.41    4.64    SDSS    
OBS: 54031.2539062    z    82N    -108.54    110.201    26.616    0.051    4.698    0    23.565    0.618    0.956    2.504    0.051    8.76    3.48    SDSS    
OBS: 54031.2539062    u    82N    24.18    43.547    27.9    0.038    4.483    32    23.786    1.087    1.057    2.316    0.092    6.11    1.47    SDSS    
OBS: 54036.2617188    g    82N    23.96    20.554    28.466    0.005    4.253    0    23.923    0.696    1.699    3.419    0.206    4.2    4.05    SDSS    
